Dataset,Method,Model,Prompting,Exact Match,F1,Precision,Recall
HotpotQA,NoRAG,Llama-3.1-8B-Instruct,cot,0.31,0.3926904761904762,0.4161666666666666,0.38683333333333336
HotpotQA,OneRAG,Llama-3.1-8B-Instruct,cot,0.38,0.4927045454545456,0.5258333333333333,0.4862499999999999
HotpotQA,IRCoT,Llama-3.1-8B-Instruct,cot,0.46,0.5776858974358975,0.6097499999999999,0.5723095238095236
HotpotQA,ReAct,Llama-3.1-8B-Instruct,cot,0.37,0.4576776228157808,0.4798965201465202,0.4618928571428571
HotpotQA,SCR,Llama-3.1-8B-Instruct,cot,0.495,0.6137738095238096,0.6444166666666666,0.608642857142857
HotpotQA,ToTR,Llama-3.1-8B-Instruct,cot,0.475,0.5957896825396826,0.6279166666666666,0.5915595238095237
HotpotQA,Oracle,Llama-3.1-8B-Instruct,cot,0.655,0.7895934343434344,0.8296547619047618,0.7794761904761904
HotpotQA,NoRAG,Qwen2.5-7B-Instruct,cot,0.16,0.25293429637994846,0.27468837535014007,0.25496428571428575
HotpotQA,OneRAG,Qwen2.5-7B-Instruct,cot,0.25,0.3518125666603927,0.3652631578947369,0.37174999999999997
HotpotQA,IRCoT,Qwen2.5-7B-Instruct,cot,0.315,0.4150954396480713,0.43374866039533233,0.4340595238095238
HotpotQA,ReAct,Qwen2.5-7B-Instruct,cot,0.44,0.5339397824397825,0.5533960944026733,0.5493928571428571
HotpotQA,SCR,Qwen2.5-7B-Instruct,cot,0.315,0.4222943626421889,0.4290875055779275,0.4591428571428572
HotpotQA,ToTR,Qwen2.5-7B-Instruct,cot,0.325,0.42840909090909085,0.4419325396825397,0.43305952380952384
HotpotQA,Oracle,Qwen2.5-7B-Instruct,cot,0.545,0.6905101010101009,0.7148684820081879,0.7128095238095239
MultiHop-RAG,NoRAG,Llama-3.1-8B-Instruct,cot,0.675,0.6858333333333333,0.68625,0.6891666666666667
MultiHop-RAG,OneRAG,Llama-3.1-8B-Instruct,cot,0.725,0.735,0.7379545454545454,0.7391666666666667
MultiHop-RAG,IRCoT,Llama-3.1-8B-Instruct,cot,0.74,0.7425,0.745,0.7416666666666667
MultiHop-RAG,ReAct,Llama-3.1-8B-Instruct,cot,0.44,0.4631904761904762,0.4615000000000001,0.4816666666666667
MultiHop-RAG,SCR,Llama-3.1-8B-Instruct,cot,0.75,0.7558333333333332,0.7575,0.7566666666666667
MultiHop-RAG,ToTR,Llama-3.1-8B-Instruct,cot,0.74,0.7491666666666665,0.75,0.7516666666666667
MultiHop-RAG,Oracle,Llama-3.1-8B-Instruct,cot,0.785,0.7966666666666665,0.8016666666666665,0.7966666666666667
MultiHop-RAG,NoRAG,Qwen2.5-7B-Instruct,cot,0.465,0.4733333333333334,0.47088461538461546,0.4825
MultiHop-RAG,OneRAG,Qwen2.5-7B-Instruct,cot,0.655,0.6766666666666667,0.6770833333333335,0.6841666666666667
MultiHop-RAG,IRCoT,Qwen2.5-7B-Instruct,cot,0.67,0.6861222222222222,0.6855298913043479,0.6941666666666667
MultiHop-RAG,ReAct,Qwen2.5-7B-Instruct,cot,0.465,0.4863703703703704,0.4880769230769231,0.4941666666666667
MultiHop-RAG,SCR,Qwen2.5-7B-Instruct,cot,0.695,0.7045,0.7030357142857143,0.7141666666666667
MultiHop-RAG,ToTR,Qwen2.5-7B-Instruct,cot,0.71,0.7194999999999999,0.7202631578947368,0.7266666666666667
MultiHop-RAG,Oracle,Qwen2.5-7B-Instruct,cot,0.68,0.6979999999999998,0.6958333333333334,0.7016666666666667
MuSiQue,NoRAG,Llama-3.1-8B-Instruct,cot,0.085,0.1712857142857143,0.1876666666666667,0.16616666666666668
MuSiQue,OneRAG,Llama-3.1-8B-Instruct,cot,0.11,0.21571918767507,0.23852777777777778,0.21380357142857145
MuSiQue,IRCoT,Llama-3.1-8B-Instruct,cot,0.25,0.34245634920634915,0.36341666666666667,0.3386666666666667
MuSiQue,ReAct,Llama-3.1-8B-Instruct,cot,0.14,0.21911631169473217,0.21876814158064162,0.2401071428571429
MuSiQue,SCR,Llama-3.1-8B-Instruct,cot,0.255,0.35808333333333325,0.38875,0.3507619047619048
MuSiQue,ToTR,Llama-3.1-8B-Instruct,cot,0.245,0.33745238095238084,0.36175,0.33359523809523806
MuSiQue,Oracle,Llama-3.1-8B-Instruct,cot,0.56,0.6931251803751803,0.7368333333333333,0.6832738095238097
MuSiQue,NoRAG,Qwen2.5-7B-Instruct,cot,0.035,0.11729673932305511,0.1286785714285714,0.11713095238095239
MuSiQue,OneRAG,Qwen2.5-7B-Instruct,cot,0.05,0.1437569075047336,0.14792462464006584,0.16410714285714284
MuSiQue,IRCoT,Qwen2.5-7B-Instruct,cot,0.12,0.22940715328098968,0.23250357697193771,0.2499821428571429
MuSiQue,ReAct,Qwen2.5-7B-Instruct,cot,0.18,0.2867352294266057,0.3012383296023178,0.3139940476190477
MuSiQue,SCR,Qwen2.5-7B-Instruct,cot,0.135,0.23097451778847777,0.23520327786331985,0.25012500000000004
MuSiQue,ToTR,Qwen2.5-7B-Instruct,cot,0.095,0.18740709510157974,0.19875447851362246,0.20659523809523808
MuSiQue,Oracle,Qwen2.5-7B-Instruct,cot,0.37,0.5265674739365744,0.5194726097489256,0.5957261904761905
